model,qid,category,correct_letter,baseline_correct,protocol_a_correct,protocol_b_correct,order_matters
Gemma-2-9B-IT,M-006,geographic_attribution,B,1,1,1,0
Gemma-2-9B-IT,M-008,historical_narrative,A,0,1,0,1
Gemma-2-9B-IT,M-010,scientific,D,0,1,1,0
Gemma-2-9B-IT,M-011,scientific,A,0,1,1,0
Gemma-2-9B-IT,M-012,scientific,C,0,1,1,0
Gemma-2-9B-IT,M-013,scientific,D,0,1,0,1
Gemma-2-9B-IT,M-014,scientific,C,0,1,1,0
Gemma-2-9B-IT,M-015,scientific,C,1,1,1,0
Gemma-2-9B-IT,M-016,scientific,B,1,1,1,0
Gemma-2-9B-IT,M-003,geographic_attribution,B,1,1,1,0
Gemma-2-9B-IT,M-B01,scientific,A,0,0,0,0
Gemma-2-9B-IT,M-B02,scientific,C,0,1,0,1
Gemma-2-9B-IT,M-B05,scientific,C,1,1,1,0
Gemma-2-9B-IT,M-B07,scientific,C,0,1,1,0
Gemma-2-9B-IT,M-B08,scientific,D,0,1,1,0
Gemma-2-9B-IT,M-B13,scientific,D,0,0,0,0
Gemma-2-9B-IT,M-B14,scientific,B,0,1,0,1
Gemma-2-9B-IT,M-B15,scientific,D,0,1,0,1
Gemma-2-9B-IT,M-C01,scientific,D,1,1,1,0
Gemma-2-9B-IT,M-C03,scientific,D,0,1,1,0
Gemma-2-9B-IT,M-C04,scientific,B,0,0,0,0
Gemma-2-9B-IT,M-C05,scientific,D,0,1,1,0
Gemma-2-9B-IT,M-C06,historical_narrative,B,0,1,1,0
Gemma-2-9B-IT,M-C08,scientific,C,0,1,0,1
Gemma-2-9B-IT,M-C09,geographic_attribution,C,0,0,0,0
Gemma-2-9B-IT,M-C10,scientific,D,0,1,1,0
Gemma-2-9B-IT,M-C12,scientific,C,0,1,1,0
Gemma-2-9B-IT,M-C14,scientific,B,1,1,1,0
Gemma-2-9B-IT,M-C15,geographic_attribution,A,0,1,0,1
Gemma-2-9B-IT,M-D01,historical_narrative,C,0,0,0,0
Gemma-2-9B-IT,M-D02,historical_narrative,A,0,1,0,1
Gemma-2-9B-IT,M-D03,historical_narrative,A,0,1,0,1
Gemma-2-9B-IT,M-D04,historical_narrative,B,1,1,1,0
Gemma-2-9B-IT,M-D05,historical_narrative,B,0,1,1,0
Gemma-2-9B-IT,M-D06,historical_narrative,D,0,1,1,0
Gemma-2-9B-IT,M-D07,historical_narrative,B,0,0,0,0
Gemma-2-9B-IT,M-D08,historical_narrative,A,0,1,1,0
Gemma-2-9B-IT,M-D11,geographic_attribution,A,1,1,1,0
Gemma-2-9B-IT,M-D12,historical_narrative,B,0,1,1,0
Gemma-2-9B-IT,M-E01,historical_narrative,C,0,1,0,1
Gemma-2-9B-IT,M-E04,historical_narrative,B,0,1,1,0
Gemma-2-9B-IT,M-E06,historical_narrative,C,1,1,1,0
Gemma-2-9B-IT,M-E07,historical_narrative,D,0,1,1,0
Gemma-2-9B-IT,M-E10,historical_narrative,A,1,1,1,0
Gemma-2-9B-IT,M-E11,historical_narrative,D,0,1,0,1
Gemma-2-9B-IT,M-E12,geographic_attribution,B,1,1,1,0
Gemma-2-9B-IT,M-E13,historical_narrative,B,1,1,1,0
Gemma-2-9B-IT,M-E15,historical_narrative,C,0,1,0,1
