model,qid,category,correct_answer,baseline_prediction,baseline_correct,L1_prediction,L1_correct,L2_prediction,L2_correct,L3_prediction,L3_correct,L4_prediction,L4_correct,MCT,final_flip_level,instability,pattern
Phi-2,M-006,geographic_attribution,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-008,historical_narrative,A,B,0,B,0,A,1,A,1,A,1,2,L2,0,0→0→1→1→1
Phi-2,M-010,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Phi-2,M-011,scientific,A,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Phi-2,M-012,scientific,C,A,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Phi-2,M-013,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Phi-2,M-014,scientific,C,D,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Phi-2,M-015,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Phi-2,M-016,scientific,B,B,1,A,0,A,0,A,0,A,0,0,baseline,1,1→0→0→0→0
Phi-2,M-003,geographic_attribution,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-B01,scientific,A,C,0,A,1,A,1,A,1,A,1,1,L1,0,0→1→1→1→1
Phi-2,M-B02,scientific,C,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Phi-2,M-B05,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Phi-2,M-B07,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Phi-2,M-B08,scientific,D,A,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Phi-2,M-B13,scientific,D,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Phi-2,M-B14,scientific,B,D,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Phi-2,M-B15,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Phi-2,M-C01,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Phi-2,M-C03,scientific,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Phi-2,M-C04,scientific,B,A,0,A,0,A,0,A,0,A,0,5,never,0,0→0→0→0→0
Phi-2,M-C05,scientific,D,B,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Phi-2,M-C06,historical_narrative,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Phi-2,M-C08,scientific,C,A,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Phi-2,M-C09,geographic_attribution,C,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Phi-2,M-C10,scientific,D,C,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Phi-2,M-C12,scientific,C,C,1,C,1,C,1,C,1,C,1,0,baseline,0,1→1→1→1→1
Phi-2,M-C14,scientific,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-C15,geographic_attribution,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D01,historical_narrative,C,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Phi-2,M-D02,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D03,historical_narrative,A,B,0,B,0,B,0,A,1,A,1,3,L3,0,0→0→0→1→1
Phi-2,M-D04,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D05,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D06,historical_narrative,D,D,1,D,1,D,1,D,1,D,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D07,historical_narrative,B,A,0,B,1,B,1,B,1,B,1,1,L1,0,0→1→1→1→1
Phi-2,M-D08,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D11,geographic_attribution,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Phi-2,M-D12,historical_narrative,B,A,0,B,1,A,0,A,0,A,0,1,L1,1,0→1→0→0→0
Phi-2,M-E01,historical_narrative,C,A,0,C,1,C,1,C,1,C,1,1,L1,0,0→1→1→1→1
Phi-2,M-E04,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-E06,historical_narrative,C,C,1,A,0,C,1,A,0,C,1,0,baseline,1,1→0→1→0→1
Phi-2,M-E07,historical_narrative,D,C,0,D,1,D,1,D,1,D,1,1,L1,0,0→1→1→1→1
Phi-2,M-E10,historical_narrative,A,A,1,A,1,A,1,A,1,A,1,0,baseline,0,1→1→1→1→1
Phi-2,M-E11,historical_narrative,D,B,0,B,0,B,0,B,0,B,0,5,never,0,0→0→0→0→0
Phi-2,M-E12,geographic_attribution,B,A,0,A,0,A,0,A,0,A,0,5,never,0,0→0→0→0→0
Phi-2,M-E13,historical_narrative,B,B,1,B,1,B,1,B,1,B,1,0,baseline,0,1→1→1→1→1
Phi-2,M-E15,historical_narrative,C,A,0,D,0,D,0,D,0,D,0,5,never,0,0→0→0→0→0
