model,variant,qid,category,baseline_correct,L1_correct,L2_correct,L3_correct,L4_correct,MCL
Phi-2,v3,M-006,geographic_attribution,1,1,1,1,1,0
Phi-2,v3,M-008,historical_narrative,0,1,1,1,1,1
Phi-2,v3,M-010,scientific,0,1,1,1,1,1
Phi-2,v3,M-011,scientific,0,0,0,0,0,5
Phi-2,v3,M-012,scientific,0,1,1,1,1,1
Phi-2,v3,M-013,scientific,1,1,1,1,1,0
Phi-2,v3,M-014,scientific,0,1,1,1,1,1
Phi-2,v3,M-015,scientific,1,1,1,1,1,0
Phi-2,v3,M-016,scientific,1,0,0,0,0,0
Phi-2,v3,M-003,geographic_attribution,1,1,1,1,1,0
Phi-2,v3,M-B01,scientific,0,0,1,1,1,2
Phi-2,v3,M-B02,scientific,0,0,0,0,0,5
Phi-2,v3,M-B05,scientific,1,1,1,1,1,0
Phi-2,v3,M-B07,scientific,1,1,1,1,1,0
Phi-2,v3,M-B08,scientific,0,1,1,1,1,1
Phi-2,v3,M-B13,scientific,0,0,0,0,0,5
Phi-2,v3,M-B14,scientific,0,1,1,1,1,1
Phi-2,v3,M-B15,scientific,0,1,1,1,1,1
Phi-2,v3,M-C01,scientific,1,1,1,1,1,0
Phi-2,v3,M-C03,scientific,1,1,1,1,1,0
Phi-2,v3,M-C04,scientific,0,0,0,0,0,5
Phi-2,v3,M-C05,scientific,0,1,1,1,1,1
Phi-2,v3,M-C06,historical_narrative,0,1,1,1,1,1
Phi-2,v3,M-C08,scientific,0,1,1,1,1,1
Phi-2,v3,M-C09,geographic_attribution,0,0,0,0,0,5
Phi-2,v3,M-C10,scientific,0,1,1,1,1,1
Phi-2,v3,M-C12,scientific,1,1,1,1,1,0
Phi-2,v3,M-C14,scientific,1,1,1,1,1,0
Phi-2,v3,M-C15,geographic_attribution,1,1,1,1,1,0
Phi-2,v3,M-D01,historical_narrative,0,0,0,0,0,5
Phi-2,v3,M-D02,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-D03,historical_narrative,0,0,0,0,0,5
Phi-2,v3,M-D04,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-D05,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-D06,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-D07,historical_narrative,0,1,1,1,1,1
Phi-2,v3,M-D08,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-D11,geographic_attribution,1,1,1,1,1,0
Phi-2,v3,M-D12,historical_narrative,0,1,0,1,1,1
Phi-2,v3,M-E01,historical_narrative,0,1,1,1,1,1
Phi-2,v3,M-E04,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-E06,historical_narrative,1,0,1,1,1,0
Phi-2,v3,M-E07,historical_narrative,0,1,1,1,1,1
Phi-2,v3,M-E10,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-E11,historical_narrative,0,0,1,1,1,2
Phi-2,v3,M-E12,geographic_attribution,0,0,0,0,0,5
Phi-2,v3,M-E13,historical_narrative,1,1,1,1,1,0
Phi-2,v3,M-E15,historical_narrative,0,0,0,0,0,5
